党,トウ・なかま・むら,party; faction; clique
祭,サイ・まつ.る・まつ.り・まつり,ritual; offer prayers; celebrate; deify; enshrine; worship
袋,タイ・ダイ・ふくろ,sack; bag; pouch
筆,ヒツ・ふで,writing brush; writing; painting brush; handwriting
訓,クン・キン・おし.える・よ.む・くん.ずる,instruction; Japanese character reading; explanation; read
浴,ヨク・あ.びる・あ.びせる,bathe; be favored with; bask in
童,ドウ・わらべ,juvenile; child
宝,ホウ・たから,treasure; wealth; valuables
封,フウ・ホウ,seal; closing
胸,キョウ・むね・むな~,bosom; breast; chest; heart; feelings
砂,サ・シャ・すな,sand
塩,エン・しお,salt
賢,ケン・かしこ.い,intelligent; wise; wisdom; cleverness
腕,ワン・うで,arm; ability; talent
兆,チョウ・きざ.す・きざ.し,portent; 10**12; trillion; sign; omen; symptoms
床,ショウ・とこ・ゆか,bed; counter for beds; floor; padding; tatami
毛,モウ・け,fur; hair; feather; down
緑,リョク・ロク・みどり,green
尊,ソン・たっと.い・とうと.い・たっと.ぶ・とうと.ぶ,revered; valuable; precious; noble; exalted
祝,シュク・シュウ・いわ.う,celebrate; congratulate
柔,ジュウ・ニュウ・やわ.らか・やわ.らかい・やわ・やわ.ら,tender; weakness; gentleness; softness
殿,デン・テン・との・~どの,Mr.; hall; mansion; palace; temple; lord
濃,ノウ・こ.い,concentrated; thick; dark; undiluted
液,エキ,fluid; liquid; juice; sap; secretion
衣,イ・エ・ころも・きぬ・~ぎ,garment; clothes; dressing
肩,ケン・かた,shoulder
零,レイ・ぜろ・こぼ.す・こぼ.れる,zero; spill; overflow; nothing; cipher
幼,ヨウ・おさな.い,infancy; childhood
荷,カ・に,baggage; shoulder-pole load; bear (a burden); shoulder (a gun); load; cargo; freight
泊,ハク・と.まる・と.める,overnight stay; put up at; ride at anchor
黄,コウ・オウ・き・こ~,yellow
甘,カン・あま.い・あま.える・あま.やかす・うま.い,sweet; coax; pamper; be content; sugary
臣,シン・ジン,retainer; subject
浅,セン・あさ.い,shallow; superficial; frivolous; wretched; shameful
掃,ソウ・シュ・は.く,sweep; brush
雲,ウン・くも・~ぐも,cloud
掘,クツ・ほ.る,dig; delve; excavate
捨,シャ・す.てる,discard; throw away; abandon; resign; reject; sacrifice
軟,ナン・やわ.らか・やわ.らかい,soft
沈,チン・ジン・しず.む・しず.める,sink; be submerged; subside; be depressed; aloes
凍,トウ・こお.る・こご.える・こご.る・い.てる・し.みる,frozen; congeal; refrigerate
乳,ニュウ・ちち・ち,milk; breasts
恋,レン・こ.う・こい・こい.しい,romance; in love; yearn for; miss; darling
紅,コウ・ク・べに・くれない・あか.い,crimson; deep red
郊,コウ,outskirts; suburbs; rural area
腰,ヨウ・こし,loins; hips; waist; low wainscoting
炭,タン・すみ,charcoal; coal
踊,ヨウ・おど.る,jump; dance; leap; skip
冊,サツ・サク・ふみ,tome; counter for books; volume
勇,ユウ・いさ.む,courage; cheer up; be in high spirits; bravery; heroism
械,カイ・かせ,contraption; fetter; machine; instrument
菜,サイ・な,vegetable; side dish; greens
珍,チン・めずら.しい・たから,rare; curious; strange
卵,ラン・たまご,egg; ovum; spawn; roe
湖,コ・みずうみ,lake
喫,キツ・の.む,consume; eat; drink; smoke; receive (a blow)
干,カン・ほ.す・ほ.し~・~ぼ.し・ひ.る,dry; parch; ebb; recede; interfere; intercede
虫,チュウ・キ・むし,insect; bug; temper
刷,サツ・す.る・~ず.り・~ずり・は.く,printing; print; brush
湯,トウ・ゆ,hot water; bath; hot spring
溶,ヨウ・と.ける・と.かす・と.く,melt; dissolve; thaw
鉱,コウ・あらがね,mineral; ore
涙,ルイ・レイ・なみだ,tears; sympathy
匹,ヒツ・ひき,equal; head; counter for small animals; roll of cloth
孫,ソン・まご,grandchild; descendants
鋭,エイ・するど.い,pointed; sharpness; edge; weapon; sharp; violent
枝,シ・えだ,bough; branch; twig; limb; counter for branches
